  BI.Depth  BI.PHI_U1     BI.VSH    BI.VSST  K1.median      K1.UB      K1.LB radius.eff         Df         Dt        LBD.ratio 
1118.84436       0.19       0.19       0.57       1235       1453       1041      0.075       1.65       1.25       0.00845380 
1119.75879       0.26       0.00       0.74       3392       4951       2372      0.100       1.74       1.18       0.00607027 
1121.28284       0.13       0.40       0.40        206        237        182      0.050       1.53       1.34       0.01309846 
1124.17834       0.21       0.13       0.62       1736       2190       1367      0.083       1.68       1.24       0.00757916 
1125.24524       0.26       0.00       0.74       3392       4951       2372      0.100       1.74       1.18       0.00607027 
1127.37878       0.18       0.18       0.57       1058       1248        889      0.076       1.64       1.25       0.00839463 
1128.29321       0.26       0.00       0.74       3392       4951       2372      0.100       1.74       1.18       0.00607027 
1130.12195       0.14       0.35       0.42        296        343        262      0.055       1.56       1.32       0.01194760 
1133.17004       0.20       0.18       0.59       1455       1740       1204      0.077       1.66       1.24       0.00822461 
1135.45605       0.26       0.00       0.74       3392       4951       2372      0.100       1.74       1.18       0.00607027 
1135.76074       0.18       0.21       0.55       1030       1194        892      0.073       1.64       1.25       0.00881299 
1140.79004       0.22       0.10       0.65       2027       2658       1546      0.087       1.69       1.21       0.00718545 
1142.16162       0.26       0.00       0.74       3392       4951       2372      0.100       1.74       1.18       0.00607027 
1143.38086       0.15       0.34       0.45        390        452        345      0.057       1.58       1.29       0.01137842 
1144.75244       0.19       0.20       0.57       1227       1435       1042      0.074       1.65       1.25       0.00856428 
1149.17200       0.26       0.00       0.74       3392       4951       2372      0.100       1.74       1.18       0.00607027 
1158.92566       0.14       0.37       0.43        288        334        255      0.054       1.55       1.33       0.01212278 
