 BL2.Depth BL2.PHI_U1       Reff      Kcalc      error    KUBound    KLBound 
1116.10120       0.11      0.000          0       0.00          0          0 
1116.55835       0.00      0.000          0       0.00          0          0 
1118.84436       0.19      0.075       1235       0.38       1453       1041 
1119.75879       0.26      0.100       3392       1.73       4951       2372 
1121.28284       0.13      0.050        206       0.04        237        182 
1121.73999       0.00      0.000          0       0.00          0          0 
1122.19714       0.02      0.000          0       0.00          0          0 
1122.80676       0.00      0.000          0       0.00          0          0 
1124.17834       0.21      0.083       1736       0.77       2190       1367 
1125.24524       0.26      0.100       3392       1.73       4951       2372 
1127.37878       0.18      0.076       1058       0.32       1248        889 
1128.29321       0.26      0.100       3392       1.73       4951       2372 
1130.12195       0.14      0.055        296       0.06        343        262 
1130.73157       0.00      0.000          0       0.00          0          0 
1133.17004       0.20      0.077       1455       0.62       1740       1204 
1135.45605       0.26      0.100       3392       1.73       4951       2372 
1135.76074       0.18      0.073       1030       0.56       1194        892 
1137.74207       0.00      0.000          0       0.00          0          0 
1140.79004       0.22      0.087       2027       1.27       2658       1546 
1142.16162       0.26      0.100       3392       1.73       4951       2372 
1143.38086       0.15      0.057        390       0.10        452        345 
1143.99048       0.00      0.000          0       0.00          0          0 
1144.75244       0.19      0.074       1227       0.32       1435       1042 
1149.17200       0.26      0.100       3392       1.73       4951       2372 
1158.92566       0.14      0.054        288       0.09        334        255 
1159.99243       0.00      0.000          0       0.00          0          0 
1162.58325       0.08      0.000          0       0.00          0          0 
